time,com,angle,finger
17:38:26.574,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.574,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.575,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.598,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.599,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.599,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.600,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.601,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.602,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.602,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.603,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.604,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.605,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.606,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.607,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.629,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.631,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.633,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.635,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.637,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.639,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,78,P
17:38:26.641,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.643,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.644,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.645,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.646,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.647,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
17:38:26.677,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,18,X
17:38:26.678,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,62,T
17:38:26.679,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,47,I
17:38:26.680,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,67,M
17:38:26.681,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,76,R
17:38:26.681,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,P
17:38:26.682,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,1,X
17:38:26.683,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,58,T
17:38:26.684,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,93,I
17:38:26.685,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,79,M
17:38:26.686,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,102,R
17:38:26.686,쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌쳌牬ႎ읮,38,P
